spec_code,box,square,locus,basket,layer,taxon,element,zone,,sub.element,side,DR<50%,DR>50%,feature,scan_site,epifusion,TWS,length(mm),colour,Mn_stain,ToolMarks,Binford_code,burn,animal_mod,pit_mm,wthr,frctr,abrasion,trampling,rootetch,MWII,MWS_location,crown_height,notes,length,breadth,depth,other
NR-0018,1,,103,1082,2,gerbillus,mandible,m1-m2,,"mand-M1,M2",,,,,,,,14,light,,,,,,,,,,,,,,,,,,,
NR-0018,1,,103,1082,2,gerbillus,humerus,,,,,,,,,dF,,11,light,,,,,,,,,,,,,,,,11.3,,,
NR-0019,1,,110,1097,3,capra,mandible,dp2,,mand-dp2,,,,,,,,15,light,,,,,,,,,,,,,,,,,,,
NR-0020,1,,103,1101,2,capra,maxilla,M2,,max-M2,,,,,,,,26,reddish,,,,,,,,,,,,3,mx_M2_ps,,,,,,
NR-0021,1,,103,1032,2,rodentia,humerus,,,,,,,,,dUM,,12,black,,,,,,,,,,,,,,,,,,,
NR-0022,1,,103,1101,2,bovid_2,tibia,"TI3,TI4",,,,10,9,,FE4,,,80,reddish,,,,,,,,dry-1,,,,,,,crusted,,,,
NR-0023,1,,103,1101,2,bovid_2,tibia,TI4,,,,,10,,TI4,,,45,reddish,,,,,,,,green-1,,,,,,,,,,,
NR-0024,1,,104,1087,3,bovid_2,tibia,TI1,,,,7,,,,pUM,,28,reddish,,,,,,,1,green-0,,,,,,,,,,,
NR-0025,1,,112,1167,4,bovid_2,tibia,TI3,,,,"8,9",,,,,,82,reddish,1,,,,,,1,green-0,,,,,,,,,,,
NR-0026,1,,112,1167,4,bovid_2,humerus,HU2,,,,11,,,,,,51,reddish,1,,,,,,1,mixed-0,,,some,,,,,,,,
NR-0027,1,,104,1094,3,bovid_2,phalanx_1,"P12,P13",,,,"2,3",,,,pUM,,33,reddish,1,,,,,,,,,,,,,,split?,,,,
NR-0028,1,,110,1170,3,bovid_2,cranium,CR2,,occipital,,,,petrosum,,,,26,reddish,,,,,,,,,,,,,,,,,,,
NR-0029,1,,110,1170,3,gazella,metacarpal,"MP1,MP2",,,,5,1,,"MC1, MC2",,,42,black,,,,yes,,,1,green-0,,,,,,,,,,,
NR-0030,1,,110,1170,3,bovid_2,metatarsal,MP3,,,,"5,6,7,8",,,MR3,,,31,gray_white,1,,,,,,,dry-0,,,,,,,,,,,
NR-0031,1,,103,1057,2,bovid_2,mandible,tooth_fragment,,,,,,,,,,17,reddish_black,,,,,,,,,,,,,,,,,,,
NR-0032,1,,103,1057,2,capra,metatarsal,"MP4,MP6",,,,7,3,,MC6,dF,,33,reddish,,,,,,,,,some,,,,,,,,,,
NR-0033,1,,103,1057,2,bovid_2,humerus,HU4,,,,,8,,HU4,,,31,reddish,1,,,,,,1,green-0,,,,,,,,,,,
NR-0034,1,,103,1101,2,bovid_2,femur,FE4,,,,6,,,,,,38,reddish,1,,,,,,,mixed-0,,,,,,,,,,,
NR-0035,1,,103,1057,2,bovid_2,tibia,TI4,,,,10,,,,,,35,reddish_black,,,,,,,1,mixed-0,some,,,,,,,,,,
NR-0036,1,,112,1167,4,capra,metacarpal,"MP1,MP2",,,,"2,5",1,,MC1,,,34,reddish_black,1,,,yes,,,,green-0,,,,,,,,,,,
NR-0037,1,B4c+d,112,1167,4,bovid_2,tibia,TI1,,,,,1,,TI1,pUE,,22,gray_white,1,,,yes,,,,,,,,,,,,,,,
NR-0038,1,B4c+d,112,1167,4,bovid_2,cranium,CR2,,,,,,petrosum,,,,30,reddish,,,,,,,,,,,,,,,,,,,
NR-0039,1,B4c+d,112,1167,4,capra,metapodial,MP6,,,,,3,,MC6,dF,,15,gray_white,,,,yes,,,,,,,,,,,,,,,
NR-0040,1,C3a+b,110,1097,3,bovid_2,cranium,CR2,,,,,,petrosum,,,,24,light,,,,,,,,,,,,,,,,,,,
NR-0041,1,C3a+b,110,1180,3,capra,metapodial,MP6,,,,,4,,MC6,dUE,,17,reddish,,,,,,,,,,,,,,,,,,13.5,DEM=8.5; DVM=13.4; WCM=10.6
NR-0042,1,C3b,102,1093,4,bovid_2,tibia,TI4,,,,10,,,TI4,,,62,reddish,1,,,,,,,mixed-0,extensive,,,,,,,,,,
NR-0043,1,C3a+b,110,1097,3,columba,tibiotarsus,distal,,distal,,,,,,,,12,reddish_black,,,,,,,,,,,,,,,,,Bd=6.2,Dd=5.7,
NR-0044,2,C3,103,1057,2,gazella,metapodial,MP4,,,,,8,,MR4,,,28,reddish,1,,,,,,1,mixed-1,some,,,,,,,,,,
NR-0045,2,C3,103,1057,2,capra,metatarsal,MP1,,,left,"1,5","2,6",,MR1,,,44,reddish_black,,,,,,,1,green-0,,,,,,,,,,,
NR-0046,2,C3a,104,1094,3,bovid_2,mandible,DN4,,,,,1,,DN4,,,35,reddish_black,,,,yes,,,,,extensive,,,,,,,,,,
NR-0047,2,C3a+b,110,1180,3,capra,mandible,m2,,M2,left,,,,,,D,27,reddish,,,,,,,,,,,,,,,preserved surface for microwear,,,,
NR-0048,2,B4c+d,112,1167,4,capra,mandible,m3,,M3,left,,,,,,E,33,reddish,,,,,,,,,,,,,,,preserved surface for microwear?,,,,
NR-0049,2,,102,1093,4,gazella,cranium,CR3,,horncore,,,,,,,,56,light,,,,,,,,,,,,,,,male,,,,
NR-0050,2,C3a+b,110,1097,3,gazella,phalanx_1,"P11,P12",,,,2,1,,"PI1, PI2",pF,,27,reddish,,,,,,,,,,,,,,,,,,,
NR-0051,2,C3,103,1057,2,bovid_2,metacarpal,MP4,,,,"7,8",,,MC4,,,38,reddish_black,,,,,,,1,dry-0,,,,,,,,,,,
NR-0052,2,B4c+d,112,1163,4,bovid_2,tibia,TI2,,,,7,,,TI2,,,52,light,,,,,,,,dry-0,some,,,,,,,,,,
NR-0053,2,C3b,102,1093,4,capra,maxilla,P3,,P3,,,,,,,,15,reddish_black,,,,,,,,,,,,,,,,,,,
NR-0054,2,C3,104,1087,3,bovid_2,vert_t,"TH1,TH2",,,,,"1,2,3",,TH1,pUM,,22,reddish,1,,,,,,,,,,,,,,,,,,
NR-0055,2,C3a+b,110,1097,3,gazella,mandible,"p2-p3, DN3",,"P2,P3",left,"1,2",,,DN3,,,31,reddish,1,,,,,,,,,,,,,,,,,,
NR-0056,2,B4c+d,112,1167,4,bovid_2,humerus,HU2,,,,,11,,HU2,,,30,reddish_black,,,,,,,,green-1,extensive,,,,,,,,,,
NR-0057,2,B4c+d,112,1167,4,gazella,phalanx_2,"P21,P22",,,,2,1,,"P21,P22",pF,,13,reddish,,,,,,,,,,,,,,,,,,,
NR-0058,2,,103,1032,2,rodentia,femur,,,,,,,,,,,12,reddish_black,,,,,,,,,,,,,,,,,,,
NR-0059,2,B4c+d,112,1167,4,capra,femur,FE2,,,left,,5,,FE2,pUM,,21,light,1,,,,,,1,green-0,,,,,,,,,,,
NR-0060,2,C3a,104,1078,3,antelope,mandible,m3,,M3,left,,,,,,,50,reddish,,,,,,,,,,,,,,,Large antelope. pathology: severe malocclusion,29.6,13.5,,
NR-0061,2,C3a+b,110,1180,3,gazella,radius,"RA1,RA2",,,right,,"2,6",,"RA1, RA2",pF,,33,reddish,1,,,,,,1,mixed-1,some,,,,,,,,,,
NR-0062,2,C3a+b,104,1087,3,capra,maxilla,P3,,P3,left,,,,,,,27,black,,,,yes,,,,,,,,,,,,,,,
NR-0063,2,B7,103,1044,2,alectoris,humerus,proximal,,proximal,,,,,,,,20,black,,,,yes,,,,,,,,,,,,,,,
NR-0064,2,C3a,104,1094,3,capra,mandible,m2,,M2,right,,,,,,G,17,light,,,,,,,,,,,,1,mnd_M2_ps,,gilded tooth. potential for MCW. relief ratio 0.18. photographed.,,,,
NR-0065,2,B4c+d,112,1167,4,bovid_2,mandible,i,,incisor,,,,,,,,29,light,,,,,,,,,,,,,,,,,,,
NR-0066,2,C3,104,1087,3,bovid_4,tibia,TI2,,,,7,,,TI2,,,36,reddish,,,,,,,1,mixed-0,,,,,,,,,,,
NR-0067,2,C3,104,1087,3,bovid_2,radius,RA3,,,,"6,8",,,,,,45,reddish,,,,yes,,,1,green-0,,,,,,,,,,,
NR-0068,2,B7,103,1082,2,bovid_2,rib,RI3,,,,2,3,,"RI4, RI5",,,44,black,,cut,,yes,,,,,,,,,,,"cut marks on lateral zone 3, no bnford code. photographed. ",,,,
NR-0069,2,C3b,110,1170,3,bovid_2,rib,RI2,,,,,1,,"RI1, RI2",,,21,reddish,,,,,,,,,,,,,,,,,,,
NR-0070,2,C3,103,1057,2,bovid_2,patella,PA1,,,right,,,,PA1,,,25,black,,,,yes,,,,,,,,,,,,,,,
NR-0071,2,B7,103,1082,2,bovid_2,femur,FE4,,,,6,,,FE4,,,45,light,,,,,carnivore_pierce,,,green-0,extensive,,,,,,,,,,
NR-0072,2,C3a,110,1097,3,bovid_2,rib,RI3,,,,,2,,,,,49,black,,,,yes,,,,,some,,,,,,,,,,
NR-0073,2,B4c+d,112,1167,4,bovid_2,vert_l,LU1,,,,,4,,,,,29,light,2,cut,TV4,,,,,,,,,,,,transverse cut mark on dorsal spine; evaporitic calcretion (gypsum?),,,,
NR-0074,2,B4c+d,112,1167,4,bovid_2,metapodial,MP4,,,,"5,6,8",7,,,,,56,light,,,,,,,,green-0,,,,,,,"longitudinal cut-mark on dorsal, in doubt...",,,,
NR-0075,2,C3a+b,110,1097,3,anser,coracoid,,,,right,,,,,,,45,black,,cut,,yes,,,,,,,,,,,transverse cutmarks in three clusters on lateral body. ,,,,
NR-0076,2,C3b,110,1170,3,bovid_2,mandible,p(i),,deciduous incisor,,,,,,,,20,reddish_black,,,,,,,,,,,,,,,,,,,
NR-0077,2,C3a+b,110,1097,3,capra,cranium,CR3,,horncore,,,,,,,,38,reddish_black,,,,,,,,,,,,,,,,,,,
NR-0078,2,C3a,104,1094,3,bovid_2,tibia,TI2,,,left,"7,8",,,,,,77,reddish,1,,,,,,1,mixed-1,,,,,,,,,,,
NR-0079,3,B4c+d,112,1163,4,bovid_2,mandible,tooth_fragment,,tooth fragment,,,,,,,,47,reddish,,,,,,,,,,,,,,,,,,,
NR-0080,3,C3,104,1087,3,bovid_2,rib,RI4,,,right,3,,,,,,24,reddish_black,2,,,,,,,,,,,,,,,,,,
NR-0081,3,C3a+b,110,1180,3,bovid_2,cranium,CR3,,horncore fragment,,,,,,,,56,light,,,,,,,,,,,,,,,,,,,
NR-0082,3,B7,103,1101,2,bovid_2,femur,FE4,,,,6,,,,,,41,reddish,,,,,,,1,mixed-0,,,,,,,,,,,
NR-0083,3,B4c+d,112,1163,4,capra,radius,"RA1, RA2",,,left,5,"1,2",,,pF,,37,reddish_black,,,,,,,1,green-2,,,,,,,,,,,
NR-0084,3,B4c+d,112,1167,4,bovid_2,metacarpal,"MP1,MP2",,,left,"1,6",2,,"MC1, MC2",,,27,light,,,,,,,1,green-0,,,,,,,,,37,,
NR-0085,3,B7,103,71101,2,lepus,calcaneus,"CA1,CA2,CA4",,,left,,"1,2,3,4,5",,,pF,,25,light,,,,,,,,,,,,,,,,24.5,7.5,,
NR-0086,3,B7,108,1157,4,bovid_2,humerus,HU2,,,,11,,,HU2,,,47,reddish,1,,,,,,1,green-0,,,,,,,,,,,
NR-0087,3,B11,108,1081,4,bovid_2,tibia,"TI2,TI3,TI4",,,,,"7,8,9,10",,,neonate,,55,reddish,,,,,,,1,dry-2,,,,,,,,,,,
NR-0088,3,C3a+b,110,1097,3,bovid_2,humerus,HU3,,,right,,8,,HU3,,,63,light,1,,,,,,1,mixed-1,,some,,,,,,,,,
NR-0089,3,B4c+d,112,1167,4,capra,maxilla,M1/2,,M1,left,,,,,,,35,reddish,,,,,,,,,,,,1,,20.4,,,,,
NR-0090,3,C3,104,1087,3,bovid_2,mandible,DN4,,,left,1,,,DN4,,,38,reddish,,,,,,,,,,,,,,,,,,,
NR-0092,3,C3,103,1057,2,bovid_2,femur,FE4,,,,"6,8",,,FE4,,,70,reddish_black,,,,,,,1,dry-1,,,,,,,,,,,
NR-0093,3,C3a+b,110,1097,3,capra,maxilla,P2,,P2,left,,,,,,,33,reddish_black,,,,,,,,,,,,,,7.5,,,,,
NR-0094,3,C3a+b,110,1180,3,bovid_2,scapula,"SP1,SP2,SP4",,,left,,"1,2,4,5,6",,,neonate,,28,light,,,,,,,,,,,,,,,,,,,
NR-0095,3,C3,103,1057,2,lepus,calcaneus,"CA1,CA2,CA4",,,right,,"1,2,3,4,5",,,pF,,26,reddish_black,,,,,,,,,,,,,,,,27,8.4,,
NR-0096,3,B4c+d,112,1167,4,capra,maxilla,M2,,M2,left,,,,,,,23,reddish,,,,,,,,,,,,0,,,,,,,
NR-0097,3,C3,103,1057,2,capra,radius,"RA1,RA2,RA3",,,right,5,2,,"RA1,RA2,RA3",pF,,55,reddish,,,,,,,1,green-0,,,,,,,,,,,
NR-0098,3,C3,104,1087,3,bovid_2,metacarpal,"MP1,MP5",,,left,,"1,5",,"MC1,MC5",,,45,,,,,,,,,green-0,,,,,,,,,,,
NR-0099,3,B4c+d,112,1167,4,bovid_2,humerus,HU2,,,,11,,,HU2,,,29,reddish,,,,,,,1,green-0,,,,,,,,,,,
NR-0100,3,C3a,104,1094,3,bovid_2,metacarpal,MP3,,,,"5,6",,,MC3,,,36,reddish,,,,,,,1,mixed-0,,some,,,,,,,,,
NR-0101,3,C3,104,1087,3,capra,tibia,"TI4,TI5",,,left,10,6,,"TI4,TI5",dF,,34,light,1,,,,,,1,,,,,,,,,,,,
NR-0102,3,C3a+b,110,1097,3,capra,phalanx_2,"P21,P22,P23",,,,"2,3",1,,"P21,P22,P23",pF,,24,reddish,,,,,,,,,,,,,,,split,,,,
NR-0103,3,C3a,110,1097,3,capra,maxilla,M1,,M1,right,,,,,,,20,reddish,,,,,,,,,,,,3,,9.2,,,,,
NR-0104,3,C3,104,1087,3,bovid_2,tibia,TI2,,,left,7,,,TI2,,,34,light,1,,,,,,1,green-0,,,some,,,,pathology: two nutrient foramina,,,,
NR-0105,3,,103,1032,2,rodentia,metapodial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0106,3,,113,1191,4,gazella,phalanx_1,"P12,P13",,,,"2,3",1,,"P12,P13",,,31,reddish,1,,,,,,,,,,,,,,split,,,,
NR-0107,3,C3a+b,110,1180,3,capra,phalanx_1,P11,,,,2,1,,P11,pF,,26,light,1,,,,,,,,,,,,,,,,,,
NR-0108,3,C3a+b,110,1180,3,capra,tibia,TI4,,,,10,,,TI4,dUM,,26,reddish,1,,,,,,,mixed-0,,,,,,,,,,,
NR-0109,4,B4c+d,112,1167,4,capra,phalanx_2,"P21,P22,P23",,,,,"1,2,3",,"P21,P22,P23",pF,,24,reddish,2,,,,,,,,,,,,,,"GL, Bp, Dp",23.3,10,10.6,
NR-0110,4,B4c+d,112,1167,4,gazella,phalanx_1,"P12,P13",,,,,"2,3",,"P12,P13",pF,,34,light,,,,,,,,,,,,,,,,,,,
NR-0111,4,B4c+d,112,1167,4,gazella,phalanx_1,"P11,P12",,,,2,1,,"P11,P12",pF,,28,reddish,1,,,,,,,green-0,,,,,,,,,,,
NR-0112,4,B7,103,1044,2,bovid_2,femur,FE4,,,,,8,,FE4,,,49,light,,,,,,,1,green-0,,,,,,,,,,,
NR-0113,4,C3a+b,110,1180,3,bovid_2,metapodial,"MP2,MP3,MP4",,,,"5,6,7,8",,,MC3,,,45,reddish,1,,,,,,1,dry-0,,some,,,,,,,,,
NR-0114,4,B7,108,1073,4,bovid_2,tibia,TI4,,,,10,,,TI4,,,33,light,1,,,,,,1,mixed-0,,,,,,,,,,,
NR-0115,4,C3,104,1087,3,bovid_2,tibia,TI3,,,,9,8,,TI3,,,56,light,1,,,,,,1,mixed-0,,some,,,,,,,,,
NR-0116,4,C3,104,1087,3,gazella,phalanx_2,"P22, P23",,,,2,3,,"P22, P23",,,12,reddish,,cut,,,,,,,,,,,,,fine cut on dorsal-distal,,,,
NR-0117,4,B7,103,1101,2,bovid_2,pelvis,IL2,,,left,,5,,IL2,,,33,reddish,,,,,,,,,,,,,,,,,,,
NR-0118,4,C3a+b,110,1097,3,capra,mandible,m1,,M1,left,,,,,,,32,reddish,,,,,,,,,,,,1,mnd_M1_ms,11.9,,,,,
NR-0119,4,C3a,110,1097,3,capra,mandible,"DN2,DN4",,,left,1,2,,"DN2, DN3",,,65,reddish,1,,,,,,1,,,,,,,,"mature dentition, from surviving alveoli ",,,,
NR-0120,4,C3b,110,1170,3,gazella,phalanx_2,"P22,P23",,,,"2,3",,,"P22,P23",pUM,,16,reddish,1,,,,,,,,,,,,,,split,,,,
NR-0121,4,C3,104,1087,3,capra,phalanx_1,P11,,,,,1,,P11,pUE,,15,reddish,,,,,,,,,,,,,,,,,11.3,15.2,
NR-0122,4,B7,103,1065,2,rodentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,possibly Sekeetamys calurus,,,,
NR-0123,4,C3,104,1087,3,bovid_2,metatarsal,"MP2,MP3,MP4",,,,"5,6,7,8",,,MR3,,,60,reddish,,,,,,,1,green-0,,,,,,,,,,,
NR-0124,4,C3a,110,1097,3,capra,metacarpal,MP6,,,left,,4,,MC6,dUE,,16,reddish,,,,,,,,,,,,,,,,,,15.8,DEL=9.7; DVL=15.8; WCL=11.6
NR-0125,4,B4c+d,112,1167,4,bovid_2,mandible,DN6,,,left,3,5,,DN7,,,37,reddish,,,,,,,,,,,,,,,,,,,
NR-0126,4,C3,104,1087,3,bovid_2,maxilla,tooth_fragment,,M,,,,,,,,20,light,,,,,,,,,,,,,,,,,,,
NR-0127,4,C3,103,1057,2,gazella,phalanx_1,"P12,P13",,,,2,3,,P13,,,15,reddish,,,,,,,,,,,,,,,Bd=8.9,,,,
NR-0128,4,C3a,110,1097,3,capra,ulna,"UL1,UL2",,,right,b,c,,UL2,,,47,reddish,,,,,,,,,,,,,,,,,,,
NR-0129,4,C3a+b,110,1180,3,gazella,metapodial,MP6,,,left,,4,,MC6,dF,,17,gray_white,,,,calcined,,,,,,,,,,,,,,,
NR-0130,4,C3a+b,110,1180,3,columba,coracoid,,,,,,,,,,,21,reddish,,,,,,,,,,,,,,,,,,,
NR-0131,4,C3a+b,110,1180,3,capra,mandible,p2,,P2,,,,,,,,15,light,,,,,,,,,,,,,,,,,,,
NR-0132,4,C3,103,1057,2,bovid_2,radius,RA2,,,,,5,,RA2,,,,,,,,,,,,,,,,,,,,,,,
NR-0134,4,C3a+b,110,1180,3,bovid_2,rib,RI4,,,,,3,,RI5,,,,,,,,,,,,,,,,,,,,,,,
NR-0135,4,B7,103,1101,2,capra,phalanx_3,P31,,,,,1,,P31,,,,,,,,,,,,,,,,,,,,,,,
NR-0136,4,C3a+b,110,1180,3,capra,phalanx_2,"P21,P22,P23",,,,"2,3",1,,"P21,P22,P23",pF,,,,,,,,,,,,,,,,,,split,GL=24.7,,,
NR-0137,4,,103,1032,2,crex,tibiotarsus,,,shaft + distal,,,,,,,,,,,,,,,,,,,,,,,,,,Bd=4.9,Dd=5,
NR-0138,4,,110,1097,3,capra,phalanx_2,P21,,,,,1,,"P21,P22,P23",pF,,,,,,,,,,,,,,,,,,split?,,,,
NR-0139,4,B7,103,1065,2,bovid_2,rib,RI3,,,,,2,,RI3,,,,,,,,,,,,,,,,,,,,,,,
NR-0140,4,C3a+b,110,1180,3,equus,axis,AX1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0141,4,B4c+d,112,1167,4,capra,metatarsal,MP6,,,,,"3,4",,MR6,dF,,,,,,,,,,,,,,,,,,,,Bd=22.8,,
NR-0142,4,,103,1057,2,capra,metatarsal,MP1,,,,"1,4",2,,MR1,,,,,,,,,,,,,,,,,,,,,,,
NR-0144,5,C3a+b,110,1180,3,bovid_2,radius,"RA2,RA3,RA4",,,,,"5,6,7,8,9,10",,"RA2,RA3,RA4",neonate,,,,,,,,,,,,,,,,,,,,,,
NR-0146,5,C3a,104,1094,3,bovid_2,metacarpal,"MP1,MP2",,,,"1,5,6",,,"MC1,MC2",,,,,,,,,,,,,,,,,,,,,,,
NR-0147,5,B7,108,1073,4,capra,maxilla,tooth_fragment,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0148,5,C3a+b,110,1097,3,capra,metatarsal,"MP1,MP2",,,right,"1,2,5,6",,,"MR1,MR2",,,,,,,,,,,,,,,,,,,,,,,
NR-0149,5,C3a+b,110,1180,3,bovid_2,tibia,TI3,,,,"7,8",,,TI3,,,,,,,,,,,,,,,,,,,,,,,
NR-0150,5,C3b,110,1170,3,bovid_2,radius,RA2,,,,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0151,5,C3a,110,1097,3,bovid_2,tibia,TI3,,,,"7,8",,,TI3,,,,,,,,,,,,,,,,,,,,,,,
NR-0152,5,C3b,110,1170,3,bovid_2,pelvis,"AC1,IL2",,,,5,1,,AC1,pF,,,,,,,,,,,,,,,,,,?male,,,,
NR-0153,5,C3a,104,1094,3,antelope,tibia,TI3,,,,7,,,TI3,,,,,,,,,,,,,,,,,,,,,,,
NR-0154,5,,117,1162,7a,capra,phalanx_1,P13,,,,3,,,P13,,,,,,,,,,,,,,,,,,,,,Bd=14.3,,
NR-0155,5,,117,1162,7a,bovid_2,vert_t,TH1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0156,5,,117,1162,7a,bovid_2,rib,"RI3,RI4",,,,3,2,,RI3,,,,,,,,,,,,,,,,,,,,,,,
NR-0157,5,,117,1162,7a,capra,pelvis,PU1,,pubis,,,3,,PU1,pF,,,,,,,,,,,,,,,,,,female,,,,
NR-0158,5,,114,1137,7b,bovid_2,radius,"RA1,RA2",,,,5,2,,RA1,,,,,,,,,,,,,,,,,,,,,,,
NR-0159,5,,117,1162,7a,gazella,metacarpal,"MP2,MP3,MP4",,,,"5,6,7,8",,,MC3,,,,,,,,,,,,,,,,,,,,,,,
NR-0160,5,,114,1137,7b,bovid_2,radius,RA2,,,,,5,,RA2,,,,,,,,,,,,,,,,,,,,,,,
NR-0161,5,,114,1137,7b,bovid_2,scapula,SP5,,,,9,,,SP5,,,,,,,,,,,,,,,,,,,,,,,
NR-0162,5,,117,1178,7a,bovid_2,mandible,DN6,,,,6,,,DN6,,,,,,,,,,,,,,,,,,,,,,,
NR-0163,5,,114,1137,7b,bovid_2,humerus,HU4,,,,,8,,HU4,,,,,,,,,,,,,,,,,,,,,,,
NR-0164,5,,117,1162,7a,gazella,cranium,CR1,,zygoamtic,right,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0165,5,,117,1162,7a,gazella,metacarpal,MP3,,,,,"6,8",,MC3,,,,,,,,,,,,,,,,,,,,,,,
NR-0166,5,,117,1162,7a,bovid_2,tibia,TI3,,,,"8,9",,,TI3,,,,,,,,,,,,,,,,,,,,,,,
NR-0167,5,,117,1162,7a,bovid_2,metacarpal,MP2,,,,6,,,MC2,,,,,,,,,,,,,,,,,,,,,,,
NR-0168,5,,117,1162,7a,bovid_2,radius,RA3,,,,,"6,8",,RA3,,,,,,,,,,,,,,,,,,,,,,,
NR-0169,5,,117,1162,7a,lepus,calcaneus,"CA1,CA2,CA3,CA4",,,,,"1,2,3,4,5",,"CA1,CA2,CA3,CA4",pF,,,,,,,,,,,,,,,,,,,GL=25.6,,,
NR-0170,5,,114,1137,7b,capra,cranium,CR4,,petrosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0171,5,,114,1137,7b,gazella,axis,AX1,,,,1,,,AX1,,,,,,,,,,,,,,,,,,,,,,,
NR-0172,5,,117,1162,7a,capra,mandible,m3,,M3,right,,,,,,F,,,,,,,,,,,,,,,,,,GL=21.6,B=8.4,,
NR-0173,5,,114,1137,7b,bovid_2,pelvis,PU1,,pubis,,,3,,PU1,,,,,,,,2,,,,,,,,,,,,,,,
NR-0174,5,,117,1162,7a,bovid_2,femur,FE4,,,,6,,,FE4,,,,,,,,,,,,,,,,,,,,,,,
NR-0175,5,,117,1162,7a,capra,cranium,CR1,,zygomatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0176,5,,117,1162,7a,capra,calcaneus,CA4,,,right,,4,,CA4,,,,,,,,,,,,,,,,,,,,,,,
NR-0177,5,,117,1162,7a,gazella,phalanx_1,"P11,P12",,,,2,1,,P11,,,,,,,,,,,,,,,,,,,,,,,
NR-0178,5,,117,1162,7a,gazella,phalanx_3,P31,,,,,"1,2",,P31,,,,,,,,,,,,,,,,,,,,DLS=26.2; Ld=21.4,MBS=4.7,,
NR-0179,5,,117,1162,7a,lepus,calcaneus,"CA1,CA2,CA3,CA4",,,right,,"1,2,3,4,5",,"CA1,CA2,CA3,CA4",pUM,,,,,,,,,,,,,,,,,,,GL=(23.6),,,
